age,months_as_customer,policy_annual_premium,umbrella_limit,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,claim_ratio,avg_claim_per_vehicle,injury_ratio,property_ratio,vehicle_ratio,high_claim_flag,no_witness_high_claim,incident_type,incident_severity,policy_state,insured_sex,collision_type,nlp_fraud_score,fraud_label
34,122,1220.71,0,5,1,2,1,8190,1890,1260,5040,6.703718558414026,4095.0,0.23074105725796606,0.1538273715053107,0.6153094860212428,1,0,1,1,1,1,0,0.0873722219467163,0
29,22,1238.62,6000000,14,1,2,3,70800,7080,14160,49560,57.11427695584131,35400.0,0.09999858759057076,0.19999717518114152,0.6999901131339953,1,0,2,0,1,1,2,0.5597630786895753,1
31,106,1320.75,0,20,3,0,3,45630,5070,5070,35490,34.522413466994514,11407.5,0.11110867611930486,0.11110867611930486,0.777760732835134,1,0,0,2,0,0,2,0.1285283970832825,0
58,398,990.98,0,18,1,2,1,99320,7640,15280,76400,100.12298635053126,49660.0,0.07692230243352363,0.15384460486704726,0.7692230243352363,1,0,2,0,2,0,1,0.4040630399613154,1
41,214,1398.51,4000000,13,3,2,0,64000,12800,6400,44800,45.7302913162464,16000.0,0.19999687504882735,0.09999843752441367,0.6999890626708958,1,1,0,0,0,1,3,0.4616602198282877,1
38,209,1355.08,0,21,1,1,1,47300,4730,4730,37840,34.87994808565867,23650.0,0.09999788587979112,0.09999788587979112,0.799983087038329,1,0,2,1,2,0,1,0.1363528675630868,0
27,82,1384.51,0,14,1,2,3,71680,8960,8960,53760,51.73546203203153,35840.0,0.12499825616272095,0.12499825616272095,0.7499895369763256,1,0,2,0,0,1,2,0.4774945961345326,1
41,193,847.03,0,1,1,1,0,112320,17280,17280,77760,132.44814452318903,56160.0,0.1538447841454403,0.1538447841454403,0.6923015286544814,1,1,2,0,2,0,3,0.5597630786895753,1
32,134,1000.06,0,17,1,1,0,82720,7520,15040,60160,82.63240964577548,41360.0,0.09090799192466242,0.18181598384932485,0.7272639353972994,1,1,2,2,2,0,3,0.1363528675630868,0
45,288,1046.71,0,4,3,2,1,48060,10680,5340,32040,45.871472067652306,12015.0,0.2222175984686128,0.1111087992343064,0.6666527954058384,1,0,0,0,0,1,2,0.1285283970832825,0
32,104,1158.03,0,23,3,1,3,63570,9780,9780,44010,54.84758806933384,15892.5,0.15384373377798052,0.15384373377798052,0.6922968020009124,1,0,0,2,1,1,2,0.5597630786895753,1
54,431,1372.27,0,13,3,2,3,63240,10540,10540,42160,46.050667385146404,15810.0,0.16666403124555274,0.16666403124555274,0.6666561249822109,1,0,0,2,2,0,2,0.1363528675630868,0
33,101,1053.04,7000000,20,3,1,3,54240,9040,9040,36160,51.45914766043035,13560.0,0.16666359396028835,0.16666359396028835,0.6666543758411534,1,0,0,1,2,0,2,0.4616602198282877,1
50,375,1275.39,0,16,1,2,3,37280,0,0,37280,29.207373921763722,18640.0,0.0,0.0,0.9999731766851747,1,0,2,0,2,1,1,0.4774945961345326,1
61,461,1402.75,0,10,3,2,1,72100,7210,14420,50470,51.36242208370437,18025.0,0.09999861305668438,0.19999722611336876,0.6999902913967906,1,0,0,1,2,1,2,0.1285283970832825,0
59,428,1344.36,7000000,8,1,2,3,6500,1300,650,4550,4.831420586311471,3250.0,0.19996923550223042,0.09998461775111521,0.6998923242578065,0,0,1,1,1,0,0,0.1335860877134362,0
38,45,1197.71,0,17,3,2,0,78240,13040,13040,52160,65.27016542783493,19560.0,0.16666453649621044,0.16666453649621044,0.6666581459848417,1,1,0,2,1,1,1,0.1363528675630868,0
29,136,1203.24,0,9,1,2,0,6200,1240,620,4340,5.148475386966053,3100.0,0.19996774713755847,0.09998387356877923,0.6998871149814546,1,1,3,1,2,0,0,0.0993852642810706,0
36,216,1152.4,0,0,1,2,3,6160,560,1680,3920,5.340731749609849,3080.0,0.09089433533517287,0.2726830060055186,0.6362603473462101,1,0,1,1,1,0,0,0.1335860877134362,0
48,278,1142.62,7000000,12,1,2,0,76050,11700,11700,52650,66.49936167608122,38025.0,0.15384413091215104,0.15384413091215104,0.6922985891046798,1,1,2,2,1,0,1,0.1363528675630868,0
48,295,1332.07,0,20,2,2,1,86060,13240,13240,59580,64.55775015565574,28686.666666666668,0.15384436620536596,0.15384436620536596,0.6922996479241468,1,0,0,2,2,0,3,0.1363528675630868,0
30,112,1166.54,0,3,1,2,0,107900,10790,21580,75530,92.41653390890248,53950.0,0.09999907322452989,0.19999814644905978,0.6999935125717093,1,1,2,0,2,0,1,0.5597630786895753,1
34,122,1495.06,0,18,3,2,0,99990,18180,18180,63630,66.83555472374103,24997.5,0.18181636347271254,0.18181636347271254,0.6363572721544939,1,1,0,2,0,0,2,0.1199742857615153,0
29,108,1337.92,0,4,3,2,2,61380,11160,5580,44640,45.84291817285573,15345.0,0.18181521969339046,0.09090760984669523,0.7272608787735618,1,0,0,1,1,0,3,0.1285283970832825,0
28,14,1587.96,0,18,1,2,1,71280,12960,12960,45360,44.85953076225959,35640.0,0.18181563109383989,0.18181563109383989,0.6363547088284396,1,0,2,0,2,0,2,0.5597630786895753,1
45,298,1362.29,0,18,3,0,0,64000,12800,6400,44800,46.94525742872023,16000.0,0.19999687504882735,0.09999843752441367,0.6999890626708958,1,1,0,1,0,1,1,0.1199742857615153,0
46,276,1448.84,0,7,1,0,1,5940,660,660,4620,4.0970038073166695,2970.0,0.1110924086854065,0.1110924086854065,0.7776468607978455,0,0,1,3,0,0,0,0.1335860877134362,0
37,47,1241.97,0,18,1,1,0,6700,670,670,5360,5.390315132304078,3350.0,0.09998507685420087,0.09998507685420087,0.799880614833607,1,1,1,1,1,1,0,0.1335860877134362,0
42,222,1124.6,0,23,3,0,0,51740,11940,7960,31840,45.96659559346127,12935.0,0.23076477068475676,0.15384318045650452,0.6153727218260181,1,1,0,1,0,1,2,0.1199742857615153,0
28,119,1079.92,0,1,1,0,1,53600,6700,6700,40200,49.58738852088961,26800.0,0.12499766795395609,0.12499766795395609,0.7499860077237365,1,0,2,2,2,1,2,0.4616602198282877,1
29,73,1447.78,0,15,3,1,0,44910,4990,4990,34930,30.998495285688648,11227.5,0.1111086370822293,0.1111086370822293,0.7777604595756051,1,1,0,2,0,1,2,0.1199742857615153,0
31,8,1229.16,4000000,2,3,0,2,48100,11100,7400,29600,39.10060479937569,12025.0,0.23076443317186754,0.15384295544791168,0.6153718217916467,1,0,0,0,1,0,1,0.1285283970832825,0
44,294,1226.49,0,3,1,0,1,6100,610,1220,4270,4.969490586481356,3050.0,0.09998360924438617,0.19996721848877233,0.6998852647107031,0,0,3,3,0,0,0,0.0993852642810706,0
46,324,897.89,6000000,13,1,1,0,79600,15920,15920,47760,88.55366062588304,39800.0,0.1999974874687504,0.1999974874687504,0.5999924624062511,1,1,2,1,1,1,2,0.1199742857615153,0
34,155,1706.79,0,1,1,1,1,77040,8560,8560,59920,45.11093284303105,38520.0,0.11110966887761062,0.11110966887761062,0.7777676821432744,1,0,2,1,1,1,1,0.1199742857615153,0
45,261,1254.18,0,16,1,0,1,62590,11380,11380,39830,49.86535795662773,31295.0,0.18181527695675098,0.18181527695675098,0.6363534693486284,1,0,2,1,0,0,2,0.1285283970832825,0
40,245,885.08,0,0,1,0,1,85150,13100,13100,58950,96.09741784037558,42575.0,0.15384434710103229,0.15384434710103229,0.6922995619546453,1,0,2,2,1,0,1,0.1285283970832825,0
39,235,1046.58,4000000,1,1,2,1,4950,450,900,3600,4.725176120200844,2475.0,0.09089072914562715,0.1817814582912543,0.7271258331650172,0,0,3,3,0,1,0,0.1099832439422607,0
36,53,1712.68,0,17,3,2,0,51100,10220,5110,35770,29.818869333831287,12775.0,0.1999960861822665,0.09999804309113325,0.6999863016379327,1,1,0,0,2,1,3,0.1363528675630868,0
54,426,1097.71,0,13,1,2,3,100800,16800,16800,67200,91.74395427364819,50400.0,0.16666501324391622,0.16666501324391622,0.6666600529756649,1,0,2,1,0,0,3,0.1285283970832825,0
27,111,1363.77,4000000,12,1,2,3,90970,16540,16540,57890,66.65592004513582,45485.0,0.18181618317925494,0.18181618317925494,0.6363566411273922,1,0,2,2,1,0,3,0.1285283970832825,0
26,86,1382.88,7000000,11,1,1,1,81840,14880,7440,59520,59.13807555568401,40920.0,0.1818159602155399,0.09090798010776995,0.7272638408621596,1,0,2,1,2,1,2,0.4774945961345326,1
46,296,1141.35,7000000,18,1,0,2,54900,5490,5490,43920,48.05882610408369,27450.0,0.09999817853955302,0.09999817853955302,0.7999854283164242,1,0,2,0,2,1,1,0.1363528675630868,0
35,125,1054.83,7000000,17,1,2,3,88660,8060,16120,64480,83.97185152912874,44330.0,0.09090806555306166,0.18181613110612332,0.7272645244244933,1,0,2,2,2,1,1,0.4040630399613154,1
34,177,1057.77,0,22,3,1,1,18000,2250,2250,13500,17.00085948789633,4500.0,0.1249930559413366,0.1249930559413366,0.7499583356480195,1,0,0,2,0,0,1,0.1285283970832825,0
39,238,1488.02,0,9,1,1,3,5500,1100,550,3850,3.6937045842231804,2750.0,0.19996364297400473,0.09998182148700237,0.6998727504090165,0,0,3,1,1,0,0,0.0993852642810706,0
25,81,920.3,5000000,11,3,1,0,73920,13440,6720,53760,80.23445131878867,18480.0,0.18181572218990544,0.09090786109495272,0.7272628887596218,1,1,0,0,1,0,2,0.4774945961345326,1
28,128,986.53,0,11,1,0,2,101860,18520,18520,64820,103.14623353214586,50930.0,0.18181639685453707,0.18181639685453707,0.6363573889908797,1,0,2,2,2,0,2,0.1199742857615153,0
57,449,1440.68,0,8,1,0,1,5390,980,980,3430,3.7386937461850063,2695.0,0.181784455574105,0.181784455574105,0.6362455945093675,0,0,1,1,2,1,0,0.0873722219467163,0
39,252,1086.21,0,18,1,1,2,50490,5610,5610,39270,46.4399701989496,25245.0,0.1111089104989008,0.1111089104989008,0.7777623734923056,1,0,2,1,1,1,3,0.1363528675630868,0
47,359,1367.68,0,13,1,0,3,55500,5550,11100,38850,40.55001899640529,27750.0,0.09999819823066251,0.19999639646132503,0.6999873876146375,1,0,2,2,2,0,1,0.1199742857615153,0
32,19,1215.85,0,8,1,1,1,7040,1280,640,5120,5.785429592801085,3520.0,0.1817923590399091,0.09089617951995455,0.7271694361596364,1,0,3,1,2,1,0,0.1099832439422607,0
26,73,1191.19,4000000,9,3,0,1,40160,5020,0,35140,33.68590577005343,10040.0,0.12499688752770101,0.0,0.8749782126939071,1,0,0,2,0,1,2,0.1285283970832825,0
44,285,1594.45,0,17,2,2,3,55680,6960,6960,41760,34.89924472719295,18560.0,0.12499775506905407,0.12499775506905407,0.7499865304143245,1,0,0,2,0,1,3,0.1199742857615153,0
36,196,1463.07,0,3,1,1,1,5300,530,530,4240,3.6200454896282284,2650.0,0.09998113563478589,0.09998113563478589,0.7998490850782871,0,0,3,3,1,1,0,0.3701210082204719,1
43,223,1734.09,0,6,1,0,3,5200,650,650,3900,2.996962693577855,2600.0,0.12497596616035378,0.12497596616035378,0.7498557969621227,0,0,1,3,2,0,0,0.0873722219467163,0
48,328,1411.43,0,17,1,2,1,59400,5940,11880,41580,42.05518149572014,29700.0,0.0999983165266578,0.1999966330533156,0.6999882156866046,1,0,2,0,0,1,1,0.1363528675630868,0
43,285,1512.58,0,7,1,1,1,2520,280,280,1960,1.664926862141413,1260.0,0.11106703689012297,0.11106703689012297,0.7774692582308608,0,0,3,1,2,0,0,0.0993852642810706,0
31,30,1153.35,0,9,1,2,1,5760,960,960,3840,4.989821111448001,2880.0,0.16663773650407915,0.16663773650407915,0.6665509460163166,0,0,3,3,0,1,0,0.1099832439422607,0
49,342,1722.95,0,3,1,2,0,76700,7670,7670,61360,44.49084950259578,38350.0,0.09999869623603343,0.09999869623603343,0.7999895698882674,1,1,2,1,2,1,2,0.1363528675630868,0
39,219,1281.07,7000000,6,1,0,2,5920,740,740,4440,4.617532584024273,2960.0,0.1249788887012329,0.1249788887012329,0.7498733322073974,0,0,1,3,1,0,0,0.1335860877134362,0
62,468,1011.92,0,7,3,0,3,64350,7150,7150,50050,63.52920270110177,16087.5,0.11110938446954981,0.11110938446954981,0.7777656912868487,1,0,0,0,0,1,2,0.1363528675630868,0
39,241,1042.26,0,21,3,1,2,19080,4240,2120,12720,18.288825412648812,4770.0,0.22221057596562024,0.11110528798281012,0.6666317278968608,1,0,0,2,0,1,2,0.1285283970832825,0
43,223,1235.1,0,14,1,2,1,54400,5440,5440,43520,44.00938435401667,27200.0,0.09999816179849635,0.09999816179849635,0.7999852943879708,1,0,2,1,2,0,2,0.1285283970832825,0
32,128,768.91,0,0,1,1,0,59800,5980,5980,47840,77.67141613954878,29900.0,0.09999832778716075,0.09999832778716075,0.799986622297286,1,1,2,2,2,0,2,0.4040630399613154,1
29,124,1301.72,0,14,3,0,3,72000,7200,7200,57600,55.2689756816507,18000.0,0.09999861113040097,0.09999861113040097,0.7999888890432078,1,0,0,0,2,1,3,0.1285283970832825,0
48,343,1451.54,3000000,13,4,2,3,65070,7230,14460,43380,44.79738940063613,13014.0,0.11110940357455702,0.22221880714911404,0.6666564214473422,1,0,0,2,1,1,3,0.1363528675630868,0
53,404,767.14,0,8,1,0,1,8800,1760,880,6160,11.456244955346682,4400.0,0.19997727530962392,0.09998863765481196,0.6999204635836836,1,0,1,3,1,1,0,0.1335860877134362,0
24,63,1620.89,0,7,1,2,0,6120,1020,1020,4080,3.7733755063536982,3060.0,0.16663943800032674,0.16663943800032674,0.666557752001307,0,1,3,1,2,0,0,0.0993852642810706,0
37,210,1048.46,0,9,1,1,2,7080,1180,590,5310,6.746326682293751,3540.0,0.16664312950148283,0.08332156475074141,0.7498940827566728,1,0,3,3,1,1,0,0.0993852642810706,0
50,335,1538.26,6000000,12,3,2,3,34320,8580,4290,21450,22.296428153788185,8580.0,0.24999271582995833,0.12499635791497916,0.6249817895748958,1,0,0,1,2,1,3,0.1285283970832825,0
40,11,1217.69,0,6,3,1,0,53460,9720,9720,34020,43.86677497969131,13365.0,0.18181478086829653,0.18181478086829653,0.6363517330390378,1,1,0,0,2,0,3,0.4774945961345326,1
33,142,1362.64,5000000,11,1,1,3,81360,6780,13560,61020,59.66384089642427,40680.0,0.0833323090915795,0.166664618183159,0.7499907818242155,1,0,2,2,1,0,3,0.4774945961345326,1
43,272,1279.13,0,5,3,1,2,81070,7370,14740,58960,63.32950559708779,20267.5,0.09090796955754832,0.18181593911509664,0.7272637564603865,1,0,0,1,2,1,3,0.4040630399613154,1
26,69,924.72,0,14,1,2,2,63120,5260,10520,47340,68.18476429157845,31560.0,0.0833320131176629,0.1666640262353258,0.7499881180589661,1,0,2,1,0,0,1,0.1199742857615153,0
28,38,1019.44,0,17,1,2,1,7200,1440,720,5040,7.055779859668378,3600.0,0.19997222607971116,0.09998611303985558,0.699902791278989,1,0,3,3,2,1,0,0.1099832439422607,0
46,328,1314.6,0,0,1,2,3,70290,12780,6390,51120,53.42809364548496,35145.0,0.181815595168656,0.090907797584328,0.727262380674624,1,0,2,2,0,0,2,0.5597630786895753,1
43,281,1515.18,6000000,21,3,1,0,60190,9260,9260,41670,39.698452690313815,15047.5,0.15384359788008173,0.15384359788008173,0.6922961904603678,1,1,0,1,2,1,3,0.1285283970832825,0
44,246,1649.18,0,18,1,1,2,61380,11160,5580,44640,37.19594226084427,30690.0,0.18181521969339046,0.09090760984669523,0.7272608787735618,1,0,2,0,2,1,1,0.4040630399613154,1
49,298,1451.01,0,17,1,2,2,28100,2810,5620,19670,19.352483798320947,14050.0,0.09999644140777908,0.19999288281555816,0.6999750898544536,1,0,2,1,2,0,1,0.1363528675630868,0
50,330,978.46,0,19,1,0,0,49060,8920,8920,31220,50.088824454291135,24530.0,0.1818144758565867,0.1818144758565867,0.6363506654980534,1,1,2,2,0,0,3,0.1285283970832825,0
50,362,1198.34,4000000,17,3,1,1,57060,6340,6340,44380,47.576166891790486,14265.0,0.11110916387725417,0.11110916387725417,0.7777641471407791,1,0,0,2,0,1,3,0.1363528675630868,0
38,241,1003.23,0,23,3,0,3,77880,12980,12980,51920,77.55195522937973,19470.0,0.16666452664963213,0.16666452664963213,0.6666581065985285,1,0,0,0,1,0,3,0.1363528675630868,0
41,245,1212.0,0,4,1,0,1,73500,7350,14700,51450,60.593569661995055,36750.0,0.09999863947429287,0.19999727894858574,0.6999904763200501,1,0,2,2,1,1,1,0.1363528675630868,0
52,371,1242.96,7000000,2,2,2,0,88920,6840,13680,68400,71.48139811569504,29640.0,0.07692221185096884,0.15384442370193768,0.7692221185096884,1,1,0,1,0,0,2,0.1363528675630868,0
52,343,1053.02,0,2,1,0,2,47630,12990,4330,30310,45.18889584637863,23815.0,0.27272154689173017,0.09090718229724339,0.6363502760807037,1,0,2,0,0,0,1,0.4616602198282877,1
53,377,1693.63,0,10,3,1,3,59040,6560,6560,45920,34.839463481703966,14760.0,0.11110922917972256,0.11110922917972256,0.7777646042580579,1,0,0,2,0,0,1,0.1363528675630868,0
37,154,2047.59,0,2,1,0,3,79530,14460,7230,57840,38.821823790997705,39765.0,0.18181589568847367,0.09090794784423684,0.7272635827538947,1,0,2,1,0,0,2,0.1199742857615153,0
34,166,1083.72,0,18,1,0,2,53680,4880,4880,43920,49.4874253263515,26840.0,0.09090739740317803,0.09090739740317803,0.8181665766286023,1,0,2,2,2,0,3,0.1285283970832825,0
46,298,1138.42,6000000,18,1,2,3,33550,3050,6100,24400,29.444805251794772,16775.0,0.09090638132991564,0.1818127626598313,0.7272510506393252,1,0,2,1,2,1,3,0.1199742857615153,0
42,235,1072.62,0,7,4,2,1,69100,6910,6910,55280,64.36169221884839,13820.0,0.09999855284294004,0.09999855284294004,0.7999884227435203,1,0,0,2,1,0,3,0.1363528675630868,0
35,172,1219.04,0,19,3,2,0,79750,14500,14500,50750,65.36670928822006,19937.5,0.1818159019949593,0.1818159019949593,0.6363556569823576,1,1,0,0,0,1,2,0.1363528675630868,0
28,27,1371.78,0,10,3,0,2,53600,5360,10720,37520,39.04485787963112,13400.0,0.09999813436316486,0.19999626872632972,0.699986940542154,1,0,0,0,1,1,1,0.4774945961345326,1
54,428,1506.21,0,16,3,1,0,76560,12760,6380,57420,50.795841322708846,19140.0,0.16666448975326864,0.08333224487663432,0.7499902038897088,1,1,0,1,1,1,3,0.1199742857615153,0
32,99,1058.21,3000000,17,1,1,1,41130,4570,4570,31990,38.830826748236895,20565.0,0.1111084097152999,0.1111084097152999,0.7777588680070993,1,0,2,2,1,1,1,0.1285283970832825,0
26,107,932.14,0,2,3,2,3,78650,14300,7150,57200,84.28531624407913,19662.5,0.18181587010972525,0.09090793505486262,0.727263480438901,1,0,0,2,0,1,2,0.5597630786895753,1
41,272,1608.34,0,19,1,1,1,71060,6460,12920,51680,44.15474666633527,35530.0,0.09090781159848581,0.18181562319697162,0.7272624927878865,1,0,2,0,2,0,3,0.1285283970832825,0
37,151,1728.56,0,0,1,1,1,38830,3530,3530,31770,22.450796734429566,19415.0,0.09090674976178827,0.09090674976178827,0.8181607478560944,1,0,2,1,1,0,1,0.1285283970832825,0
43,249,1518.46,0,16,1,0,0,53500,5350,5350,42800,35.20987719321338,26750.0,0.0999981308760584,0.0999981308760584,0.7999850470084672,1,1,2,0,0,0,1,0.1199742857615153,0
38,177,1540.19,0,20,1,2,0,73700,7370,7370,58960,47.820190891454004,36850.0,0.0999986431663071,0.0999986431663071,0.7999891453304568,1,1,2,0,0,0,1,0.4040630399613154,1
40,190,965.21,0,10,1,2,1,6300,630,630,5040,6.520321669202347,3150.0,0.09998412950325346,0.09998412950325346,0.7998730360260277,1,0,1,3,2,0,0,0.1335860877134362,0
36,174,1278.75,0,21,3,2,2,65400,10900,10900,43600,51.10373119749951,16350.0,0.1666641182856531,0.1666641182856531,0.6666564731426124,1,0,0,2,0,0,2,0.1285283970832825,0
28,95,773.99,0,3,1,1,2,3200,640,320,2240,4.129085536587569,1600.0,0.1999375195251484,0.0999687597625742,0.6997813183380194,0,0,3,3,2,1,0,0.0993852642810706,0
51,371,1532.47,0,7,1,0,3,75400,7540,15080,52780,49.16953054184301,37700.0,0.09999867375764247,0.19999734751528495,0.6999907163034973,1,0,2,0,1,0,2,0.5597630786895753,1
28,2,1340.56,0,19,1,0,2,58140,6460,6460,45220,43.33760696502579,29070.0,0.11110920004815879,0.11110920004815879,0.7777644003371115,1,0,2,1,0,0,3,0.1285283970832825,0
44,269,1297.75,4000000,15,3,0,1,98670,15180,15180,68310,75.9730510105871,24667.5,0.15384459466307224,0.15384459466307224,0.692300675983825,1,0,0,2,2,0,2,0.4774945961345326,1
27,101,433.33,0,7,1,0,3,5900,1180,590,4130,13.584141090875603,2950.0,0.19996610743941703,0.09998305371970852,0.6998813760379596,1,0,1,1,0,1,0,0.1335860877134362,0
30,94,1025.54,0,19,1,1,3,64100,6410,6410,51280,62.442768913047715,32050.0,0.09999843996193507,0.09999843996193507,0.7999875196954805,1,0,2,0,1,0,2,0.1285283970832825,0
28,117,1264.77,0,13,2,0,1,55440,5040,10080,40320,43.799426436082385,18480.0,0.09090745116430078,0.18181490232860156,0.7272596093144063,1,0,0,2,2,0,2,0.4616602198282877,1
27,111,1459.97,5000000,2,3,1,2,80850,7350,14700,58800,55.33994537875521,20212.5,0.09090796650628935,0.1818159330125787,0.7272637320503148,1,0,0,0,2,1,3,0.5597630786895753,1
40,242,1238.65,0,5,1,1,1,7480,680,680,6120,6.0339611987254465,3740.0,0.09089693891191017,0.09089693891191017,0.8180724502071915,1,0,3,3,2,0,0,0.1099832439422607,0
61,440,1050.76,0,21,1,2,3,53640,5960,5960,41720,51.00022818894044,26820.0,0.11110903972707444,0.11110903972707444,0.7777632780895211,1,0,2,0,2,1,3,0.4774945961345326,1
23,20,1711.72,0,21,3,2,2,63250,5750,11500,46000,36.92956233359802,15812.5,0.09090765363393465,0.1818153072678693,0.7272612290714772,1,0,0,0,2,0,2,0.4616602198282877,1
57,461,865.33,7000000,7,3,0,1,59040,9840,9840,39360,68.14955040227164,14760.0,0.16666384376958385,0.16666384376958385,0.6666553750783354,1,0,0,0,0,0,3,0.1285283970832825,0
36,208,1153.49,0,16,3,1,0,50500,10100,5050,35350,43.74225848643124,12625.0,0.19999603968238253,0.09999801984119126,0.6999861388883388,1,1,0,2,0,1,3,0.1285283970832825,0
43,279,1281.25,0,13,1,0,1,57690,6410,12820,38460,44.991226359914215,28845.0,0.11110918514152987,0.22221837028305974,0.6666551108491793,1,0,2,0,2,1,3,0.4040630399613154,1
40,244,1342.8,0,2,1,1,3,5940,660,660,4620,4.420300639976187,2970.0,0.1110924086854065,0.1110924086854065,0.7776468607978455,0,0,3,3,0,0,0,0.1099832439422607,0
30,134,1443.32,0,19,3,0,2,47790,5310,5310,37170,33.088235294117645,11947.5,0.11110878617312883,0.11110878617312883,0.7777615032119019,1,0,0,0,2,0,2,0.4616602198282877,1
29,122,1629.94,0,17,1,0,1,3850,350,350,3150,2.360601861503182,1925.0,0.09088548428979486,0.09088548428979486,0.8179693586081537,0,0,1,3,2,0,0,0.0873722219467163,0
31,156,1134.08,0,3,1,2,0,59000,5900,5900,47200,51.978715156640945,29500.0,0.09999830511347266,0.09999830511347266,0.7999864409077813,1,1,2,0,0,1,1,0.4616602198282877,1
43,232,1483.91,8000000,17,3,0,1,70600,7060,14120,49420,47.54496905536362,17650.0,0.09999858358946757,0.19999716717893515,0.699990085126273,1,0,0,0,2,1,2,0.4616602198282877,1
40,244,1304.67,7000000,5,3,1,1,61490,5590,11180,44720,47.094595112088044,15372.5,0.09090761249613764,0.1818152249922753,0.7272608999691011,1,0,0,1,1,1,3,0.1363528675630868,0
30,84,1035.79,0,9,1,1,0,57640,5240,10480,41920,55.594672016512504,28820.0,0.09090751374889401,0.18181502749778802,0.7272601099911521,1,1,2,1,0,0,3,0.1285283970832825,0
57,394,1401.2,0,9,1,1,0,6890,1060,1060,4770,4.91370703180716,3445.0,0.15382382818168625,0.15382382818168625,0.6922072268175882,0,1,3,3,0,0,0,0.1099832439422607,0
45,246,1665.45,0,9,3,2,2,53280,11840,5920,35520,31.97215638032944,13320.0,0.22221805146299806,0.11110902573149903,0.6666541543889942,1,0,0,0,0,1,3,0.5597630786895753,1
29,35,653.66,0,22,3,0,0,78300,15660,7830,54810,119.60406928787462,19575.0,0.19999744575420492,0.09999872287710246,0.6999910601397172,1,1,0,1,1,0,2,0.1199742857615153,0
37,156,1080.13,0,15,3,0,3,41490,4610,4610,32270,38.37651346276581,10372.5,0.11110843315417801,0.11110843315417801,0.7777590320792461,1,0,0,0,2,1,2,0.1199742857615153,0
36,195,1346.18,0,14,3,2,3,68970,12540,6270,50160,51.195831292032246,17242.5,0.1818155456641197,0.09090777283205985,0.7272621826564788,1,0,0,2,1,0,1,0.1199742857615153,0
55,369,1589.54,0,6,3,2,0,85300,17060,8530,59710,53.62958492084449,21325.0,0.19999765536160186,0.09999882768080093,0.6999917937656065,1,1,0,1,2,1,2,0.1285283970832825,0
40,271,1251.65,0,6,1,0,0,3080,560,280,2240,2.458787370773959,1540.0,0.18175916910094125,0.09087958455047063,0.727036676403765,0,0,1,1,0,0,0,0.0873722219467163,0
47,332,1083.01,0,22,4,2,0,71760,11040,11040,49680,66.19865130395476,14352.0,0.15384400997756442,0.15384400997756442,0.6922980448990399,1,1,0,0,0,1,1,0.4616602198282877,1
26,107,974.59,0,14,3,1,0,59700,11940,11940,35820,61.193739173218255,14925.0,0.19999664997236227,0.19999664997236227,0.5999899499170868,1,1,0,1,2,0,2,0.1285283970832825,0
39,217,1399.85,0,16,3,0,2,64920,10820,10820,43280,46.343291572973556,16230.0,0.16666409944393956,0.16666409944393956,0.6666563977757582,1,0,0,1,0,0,1,0.1285283970832825,0
43,243,1307.74,0,10,3,0,1,37530,4170,4170,29190,28.676436878218745,9382.5,0.11110815059550772,0.11110815059550772,0.777757054168554,1,0,0,0,1,0,1,0.1285283970832825,0
42,296,1219.27,0,9,3,1,2,64080,7120,7120,49840,52.51296844141051,16020.0,0.11110937719448823,0.11110937719448823,0.7777656403614176,1,0,0,2,1,1,3,0.1285283970832825,0
41,264,1411.3,0,4,1,1,0,60390,10980,5490,43920,42.76003681937266,30195.0,0.18181517113477175,0.09090758556738587,0.727260684539087,1,1,2,1,2,1,2,0.4616602198282877,1
33,108,694.45,0,6,3,0,1,64350,5850,11700,46800,92.53001653605578,16087.5,0.09090767820235894,0.18181535640471788,0.7272614256188715,1,0,0,0,0,0,3,0.5597630786895753,1
38,32,1006.77,6000000,15,3,2,1,70900,14180,7090,49630,70.35335443603203,17725.0,0.199997179165315,0.0999985895826575,0.6999901270786025,1,0,0,1,0,0,3,0.1285283970832825,0
39,259,1422.36,0,12,3,1,3,46560,7760,7760,31040,32.7113309352518,11640.0,0.16666308713300831,0.16666308713300831,0.6666523485320333,1,0,0,1,2,0,3,0.1285283970832825,0
33,186,1348.32,0,3,1,2,1,4730,860,860,3010,3.505469421634601,2365.0,0.18177975058127246,0.18177975058127246,0.6362291270344536,0,0,3,3,1,0,0,0.5670144391059877,1
40,201,1315.56,0,14,1,0,0,6820,1240,1240,4340,5.180166494500821,3410.0,0.1817915261691834,0.1817915261691834,0.6362703415921419,1,1,3,1,2,0,0,0.0993852642810706,0
58,436,1407.01,5000000,10,1,0,2,59900,11980,5990,41930,42.54231148926499,29950.0,0.19999666115757667,0.09999833057878833,0.6999883140515183,1,0,2,0,2,1,2,0.4040630399613154,1
36,189,1388.58,0,17,3,1,3,79560,13260,13260,53040,57.254710056276,19890.0,0.16666457183796082,0.16666457183796082,0.6666582873518433,1,0,0,0,2,0,3,0.1285283970832825,0
33,105,1310.76,0,8,1,0,1,70290,12780,6390,51120,53.58449716411539,35145.0,0.181815595168656,0.090907797584328,0.727262380674624,1,0,2,2,0,0,1,0.1363528675630868,0
